generation,best_fitness,avg_fitness,std_fitness,best_G,best_tct,best_Makespan,best_profit,best_imbalance,ideal_G,ideal_tct,ideal_Makespan,ideal_profit,ideal_imbalance,weight_G,weight_travel,weight_Makespan,weight_profit,weight_imbalance,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.04681645887845223,0.14841243199881088,0.049191073285087566,-20730.987823329862,501.95528496288586,22587.987823329862,-3440.0,0.9428090415820634,-2643.79941122084,98.34284512695592,4818.79941122084,-3586.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9690155274566342,27,0.44525262611628075,0.14529650841380204,0.1713975839009301,0.0
1,0.040552118039029035,0.10561014953704394,0.048445902686444844,-4979.617189329448,145.1758610067234,7113.617189329448,-3160.0,0.816496580927726,-1763.4312977654636,79.41044122231047,3342.1498237060223,-3586.0,0.0,0.3,0.2497,0.2497,0.1003,0.1003,1.3687922143088245,15,0.45422003621735646,0.14529650841380204,0.1713975839009301,0.657705545425415
2,0.03599257884972171,0.09693217426962507,0.04951979763233693,-3628.45352096801,118.8219483535002,5703.45352096801,-3198.0,0.4714045207910317,-1462.1346919377584,75.73632648750574,3234.103133609899,-3586.0,0.0,0.3,0.2494,0.2494,0.10060000000000001,0.10060000000000001,1.3437773943968156,12,0.39999136827821935,0.20898719746268477,0.09703026999309484,1.1146583557128906
3,0.03245382585751979,0.07571405919804222,0.044785696537949164,-4905.078906327961,147.4697639644247,6931.078906327961,-3217.0,1.632993161855452,-1462.1346919377584,75.73632648750574,3234.103133609899,-3586.0,0.0,0.3,0.2491,0.2491,0.1009,0.1009,1.3762690979543069,14,0.3571650904265888,0.2068609511727938,0.055865108726297984,1.6043486595153809
4,0.02788038698328936,0.0577336787038828,0.0243131452309522,-3546.4004195746256,121.58667599054723,5471.400419574626,-3269.0,2.449489742783178,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2488,0.2488,0.10120000000000001,0.10120000000000001,1.38510587327249,15,0.30792288420141445,0.19161925898632098,0.05120128190095108,2.048776149749756
5,0.02788038698328936,0.0475063166465461,0.011652562279270228,-3546.4004195746256,121.58667599054723,5471.400419574626,-3269.0,2.449489742783178,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2485,0.2485,0.1015,0.1015,1.4277846452431988,19,0.29696669048789215,0.19035791612846037,0.04652291540409754,2.5682897567749023
6,0.021284080914687777,0.04311415746592287,0.010696742403966657,-3809.2046789047818,129.11828815692687,5681.204678904782,-3344.0,0.816496580927726,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2482,0.2482,0.1018,0.1018,1.4533721016432233,8,0.3008152523219871,0.19579813653327133,0.03711958261417264,3.1018216609954834
7,0.021284080914687777,0.04074926406911192,0.011418425181685486,-3809.2046789047818,129.11828815692687,5681.204678904782,-3344.0,0.816496580927726,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2479,0.2479,0.10210000000000001,0.10210000000000001,1.4121904808369374,14,0.33522371973240295,0.2019650852684604,0.03678306673929988,3.5260074138641357
8,0.019311455947884085,0.0371580402914026,0.011045564861881666,-3548.2243919518687,118.48313895547541,5450.224391951869,-3385.0,2.6246692913372702,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2476,0.2476,0.1024,0.1024,1.4309196607285173,10,0.3724573546953042,0.21015036764173564,0.04508534100770433,3.9612998962402344
9,0.019311455947884085,0.03508310060117354,0.010664916978180906,-3548.2243919518687,118.48313895547541,5450.224391951869,-3385.0,2.6246692913372702,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2473,0.2473,0.10270000000000001,0.10270000000000001,1.4698038212684206,9,0.37303126086481186,0.21070842259462486,0.03346028024654336,4.3998801708221436
10,0.019311455947884085,0.035213155985026834,0.011387795941134399,-3548.2243919518687,118.48313895547541,5450.224391951869,-3385.0,2.6246692913372702,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.247,0.247,0.10300000000000001,0.10300000000000001,1.4613803021528067,14,0.41448392434866127,0.21531314725512415,0.03353687802596996,4.8353612422943115
11,0.017854001759014953,0.03662475711323816,0.014995534732531249,-3962.5318365250932,127.25069209837159,5853.531836525093,-3383.0,1.247219128924647,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2467,0.2467,0.1033,0.1033,1.4443678216852505,7,0.43468783234108216,0.21624428581879301,0.03600028666871514,5.265439510345459
12,0.016886543535620052,0.03289075524649514,0.011157092616637764,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2464,0.2464,0.10360000000000001,0.10360000000000001,1.4205199064143634,7,0.43913837152582436,0.21819859965776572,0.03300655659974492,4.9908154010772705
13,0.016886543535620052,0.03512782514404338,0.015225490004825204,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.24609999999999999,0.24609999999999999,0.1039,0.1039,1.4365254363492594,4,0.4354653860313285,0.2224868659995169,0.03443622482276132,5.51219367980957
14,0.016886543535620052,0.03324399324396901,0.00979702800373755,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2458,0.2458,0.10420000000000001,0.10420000000000001,1.4393167186412574,8,0.4521531098110965,0.22643040705088344,0.032619878243868604,5.95171046257019
15,0.016886543535620052,0.03434937708164867,0.01207828113686844,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2455,0.2455,0.10450000000000001,0.10450000000000001,1.4398372127534773,6,0.4470084441048264,0.223919760855656,0.03398270982737892,6.362233638763428
16,0.016886543535620052,0.035140395068435304,0.01244410799059278,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2452,0.2452,0.1048,0.1048,1.44632512071601,8,0.4542217843806893,0.22481621215458514,0.036073193960784046,6.873528242111206
17,0.016886543535620052,0.03586312979876493,0.012575785464268473,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2449,0.2449,0.1051,0.1051,1.4477450794353142,7,0.470344253009108,0.23059625648585416,0.03709370404664302,7.289327621459961
18,0.016886543535620052,0.037226954528222674,0.01610118920685699,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.24459999999999998,0.24459999999999998,0.1054,0.1054,1.4553874836197942,5,0.46437945396879593,0.231577461951045,0.03788264193699919,7.711328029632568
19,0.016886543535620052,0.03756554727572126,0.01497397392258915,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2443,0.2443,0.1057,0.1057,1.4745095889639475,8,0.4634039719828165,0.23348797146332806,0.03393753608394507,8.192147493362427
20,0.016886543535620052,0.037517660349951486,0.01533981506379533,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.244,0.244,0.106,0.106,1.4356215005250672,7,0.47012210498854357,0.23254992319303913,0.03726481053274638,8.602699995040894
21,0.016886543535620052,0.03796953154414534,0.011655654752913702,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2437,0.2437,0.10629999999999999,0.10629999999999999,1.423057664511458,4,0.4822941769063921,0.23058264748801788,0.03317761999601753,9.089138746261597
22,0.016886543535620052,0.03808770129959073,0.013800049325066495,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.24339999999999998,0.24339999999999998,0.1066,0.1066,1.4279723613379223,14,0.48476726820690835,0.23181415262416144,0.03266697949041659,9.496634483337402
23,0.016886543535620052,0.038236175441922204,0.012864350520075677,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.24309999999999998,0.24309999999999998,0.1069,0.1069,1.4211041879724193,6,0.4655140433703856,0.2282716942749372,0.0336984277162938,9.934263706207275
24,0.016886543535620052,0.03981646222751481,0.01443834994813162,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2428,0.2428,0.1072,0.1072,1.4461110467872156,6,0.48480184277596355,0.23258552136181998,0.0359433117694099,10.368160247802734
25,0.016886543535620052,0.04057438385181331,0.014952776508216832,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2425,0.2425,0.1075,0.1075,1.4185513466444568,4,0.4816758162883078,0.237436588396913,0.0391006335652375,10.896711587905884
26,0.016886543535620052,0.04028456013688387,0.014957716262969486,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.2422,0.2422,0.10779999999999999,0.10779999999999999,1.443617349113727,7,0.4941867351044516,0.23644632513840405,0.036847617970952005,11.318440198898315
27,0.016886543535620052,0.0428155798456988,0.017229247391777544,-3385.4763213831848,115.96614047518189,5218.476321383185,-3394.0,0.4714045207910317,-1453.4928205984866,75.35348342923137,3089.4928205984866,-3586.0,0.0,0.3,0.24189999999999998,0.24189999999999998,0.1081,0.1081,1.4118728880046085,5,0.49912942426454593,0.23840440523509512,0.04021480432714119,11.819007873535156
