generation,best_G_benchmark,best_fitness,avg_fitness,std_fitness,best_tct,best_Makespan,best_profit,ideal_tct,ideal_Makespan,ideal_profit,weight_travel,weight_Makespan,weight_profit,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.014533655152524645,0.014533655152524645,0.11061489191389497,0.0937965188286367,156.03035935544855,7801.517967772428,-3065.0,98.34284512695592,4818.79941122084,-3065.0,1.0,1.0,1.0,2930688104550.3706,20,0.10088888888888886,0.28138955648591013,0.27754164012343957,0.0
1,0.01836306400839454,0.01836306400839454,0.056368117555652415,0.07142420916363382,82.03747961451505,3937.799021496722,-2993.0,41.004588607763516,1394.1560126639595,-3098.0,0.39980000000000004,0.39980000000000004,0.20040000000000002,3037862879677.4316,9,0.03943434343434343,0.03988764138473426,0.23494553024089374,0.8274686336517334
2,0.023846022824050413,0.023846022824050413,0.03413238054591192,0.018436449651770635,84.60299721261522,4060.943866205531,-3009.0,41.004588607763516,1394.1560126639595,-3149.0,0.3996,0.3996,0.2008,3067097367491.2007,11,0.01636363636363636,0.015834354029009116,0.2301097467242877,1.2512905597686768
3,0.021290751829673982,0.021290751829673982,0.03758569869170732,0.013299976092952023,92.81672715617745,4362.38617634034,-3068.0,41.004588607763516,1394.1560126639595,-3196.0,0.39940000000000003,0.39940000000000003,0.20120000000000002,3123905404028.0024,12,0.018747474747474745,0.015091150717255851,0.2352383273697434,1.7033088207244873
4,0.021290751829673982,0.021290751829673982,0.037088306475820794,0.013439740614837659,92.81672715617745,4362.38617634034,-3068.0,41.004588607763516,1394.1560126639595,-3196.0,0.3992,0.3992,0.2016,3048772624857.65,13,0.01894949494949495,0.014405586777930874,0.23625366405914583,2.174807548522949
5,0.020512820512820513,0.020512820512820513,0.03625847279624251,0.013925011734603613,85.88334882827002,4036.517394928691,-3083.0,41.004588607763516,1394.1560126639595,-3207.0,0.399,0.399,0.202,3118364993409.576,8,0.02606060606060606,0.016173006093971026,0.23676730590112874,2.599520206451416
6,0.021441530595414808,0.021441530595414808,0.03724100007751026,0.013962375742197372,85.88334882827002,4036.517394928691,-3083.0,41.004588607763516,1394.1560126639595,-3213.0,0.39880000000000004,0.39880000000000004,0.20240000000000002,3119413148016.5674,8,0.025777777777777774,0.01599819430762813,0.23646030611659102,3.0346407890319824
7,0.02434640522875817,0.02434640522875817,0.04086099117025176,0.016115722698983266,85.88334882827002,4036.517394928691,-3083.0,41.004588607763516,1394.1560126639595,-3232.0,0.3986,0.3986,0.2028,3128331004494.983,9,0.030222222222222216,0.01953036223700569,0.23662478745579937,3.441879987716675
8,0.023202614379084968,0.023202614379084968,0.04142028718800507,0.015993939668075302,83.03349478361329,3902.5742548298244,-3090.0,41.004588607763516,1394.1560126639595,-3232.0,0.39840000000000003,0.39840000000000003,0.20320000000000002,3126790370736.484,14,0.03111111111111111,0.02023136596139795,0.23734157026800126,3.8621418476104736
9,0.030186871106851938,0.030186871106851938,0.045233791768023,0.014925036478739988,83.03349478361329,3902.5742548298244,-3090.0,41.004588607763516,1394.1560126639595,-3279.0,0.3982,0.3982,0.2036,3171658202022.025,7,0.03442424242424243,0.018779266959091514,0.23745605510487394,4.2771384716033936
10,0.024725699273682584,0.024725699273682584,0.05347780259514697,0.01773559595539678,88.4078393440445,4155.168449170092,-3189.0,41.004588607763516,1394.1560126639595,-3349.0,0.398,0.398,0.20400000000000001,3247479206988.9478,10,0.03458585858585859,0.020416743331888237,0.24126393059256102,4.698177337646484
11,0.02543940795559667,0.02543940795559667,0.0508603910326351,0.016268377474177833,88.4078393440445,4155.168449170092,-3189.0,41.004588607763516,1394.1560126639595,-3354.0,0.39780000000000004,0.39780000000000004,0.2044,3220281016998.1704,8,0.03652525252525252,0.020652220303746242,0.24274328787980606,5.1171839237213135
12,0.02543940795559667,0.02543940795559667,0.04982570689141963,0.017739514100512412,88.4078393440445,4155.168449170092,-3189.0,41.004588607763516,1394.1560126639595,-3354.0,0.3976,0.3976,0.2048,3230316755851.837,8,0.03692929292929293,0.019869441846573146,0.24532094654876305,5.533178806304932
13,0.02543940795559667,0.02543940795559667,0.045456099814613564,0.017005819178905177,88.4078393440445,4155.168449170092,-3189.0,41.004588607763516,1394.1560126639595,-3354.0,0.39740000000000003,0.39740000000000003,0.20520000000000002,3241090277697.794,9,0.03470707070707071,0.01832838582551783,0.2475917571618013,5.945387363433838
14,0.02543940795559667,0.02543940795559667,0.04070261722876985,0.014280358519322309,88.4078393440445,4155.168449170092,-3189.0,41.004588607763516,1394.1560126639595,-3354.0,0.3972,0.3972,0.2056,3215722214702.751,9,0.035555555555555556,0.015473612720607367,0.24932408746947513,6.393984794616699
15,0.02543940795559667,0.02543940795559667,0.04386418601364928,0.018060567038255947,88.4078393440445,4155.168449170092,-3189.0,41.004588607763516,1394.1560126639595,-3354.0,0.397,0.397,0.20600000000000002,3209104670169.187,8,0.03333333333333334,0.02307589758964311,0.25220468870108154,6.828206777572632
16,0.02543940795559667,0.02543940795559667,0.04012420980172512,0.014224297935284137,88.4078393440445,4155.168449170092,-3189.0,41.004588607763516,1394.1560126639595,-3354.0,0.39680000000000004,0.39680000000000004,0.2064,3249082482221.8647,8,0.033777777777777775,0.016916204320853775,0.2558419921844493,7.256633043289185
17,0.021599264705882353,0.021599264705882353,0.042841410262492205,0.015858675074581288,89.15135270911695,4190.113577328497,-3227.0,41.004588607763516,1394.1560126639595,-3368.0,0.3966,0.3966,0.2068,3257795647084.6636,7,0.036282828282828285,0.020551231507141405,0.2613315277579433,7.689806699752808
18,0.02569916855631141,0.02569916855631141,0.0476090402182883,0.019521807725529017,89.15135270911695,4190.113577328497,-3227.0,41.004588607763516,1394.1560126639595,-3397.0,0.39640000000000003,0.39640000000000003,0.20720000000000002,3282501220014.1006,8,0.0376969696969697,0.025882743825039457,0.26305837006875754,8.130244255065918
19,0.02569916855631141,0.02569916855631141,0.04466190548302668,0.015205570478513734,89.15135270911695,4190.113577328497,-3227.0,41.004588607763516,1394.1560126639595,-3397.0,0.3962,0.3962,0.2076,3260391740473.7764,8,0.0355959595959596,0.018518266391134693,0.2670061279476681,8.574278831481934
20,0.02569916855631141,0.02569916855631141,0.047721824744389005,0.02054407810669451,89.15135270911695,4190.113577328497,-3227.0,41.004588607763516,1394.1560126639595,-3397.0,0.396,0.396,0.20800000000000002,3270808218321.934,13,0.035111111111111114,0.025043699639959893,0.26666850425140265,9.009209394454956
21,0.02569916855631141,0.02569916855631141,0.044162852009785966,0.01899368522185186,89.15135270911695,4190.113577328497,-3227.0,41.004588607763516,1394.1560126639595,-3397.0,0.39580000000000004,0.39580000000000004,0.2084,3261582418841.798,9,0.0317979797979798,0.02266411687534154,0.2695376790721979,9.452127695083618
22,0.02569916855631141,0.02569916855631141,0.041156916947906394,0.013701268079652015,89.15135270911695,4190.113577328497,-3227.0,41.004588607763516,1394.1560126639595,-3397.0,0.3956,0.3956,0.2088,3242397109818.961,7,0.03385858585858586,0.01697444955768958,0.27175315518477794,9.888661861419678
23,0.02628062360801782,0.02628062360801782,0.04758513197076478,0.023239406211089175,102.3663388133785,4708.851585415411,-3260.0,41.004588607763516,1394.1560126639595,-3437.0,0.39540000000000003,0.39540000000000003,0.2092,3301306541938.292,10,0.03317171717171717,0.028036576373735935,0.276480679679267,10.309360980987549
24,0.02331106161841128,0.02331106161841128,0.046041574679201454,0.016840347973652352,95.50033830422498,4393.015561994349,-3280.0,41.004588607763516,1394.1560126639595,-3437.0,0.3952,0.3952,0.2096,3277680984620.3823,9,0.03381818181818182,0.021373047313722148,0.27889811299714223,10.792496919631958
25,0.025504938817632314,0.025504938817632314,0.04861922034143025,0.018736387277982214,95.50033830422498,4393.015561994349,-3280.0,41.004588607763516,1394.1560126639595,-3453.0,0.395,0.395,0.21000000000000002,3337907182422.5845,8,0.03503030303030304,0.024130705032187928,0.2830837000119977,11.244238138198853
26,0.025504938817632314,0.025504938817632314,0.04393345737034897,0.015249745903530901,95.50033830422498,4393.015561994349,-3280.0,41.004588607763516,1394.1560126639595,-3453.0,0.39480000000000004,0.39480000000000004,0.2104,3256348997046.244,9,0.03345454545454545,0.019747611639004643,0.29102246351874345,11.70844292640686
27,0.025504938817632314,0.025504938817632314,0.04268389318749131,0.014235800775555018,95.50033830422498,4393.015561994349,-3280.0,41.004588607763516,1394.1560126639595,-3453.0,0.3946,0.3946,0.21080000000000002,3280517406432.2456,11,0.0336969696969697,0.016521446217285216,0.29427818395415883,12.188963174819946
28,0.025504938817632314,0.025504938817632314,0.045012391631700746,0.015587513410966012,95.50033830422498,4393.015561994349,-3280.0,41.004588607763516,1394.1560126639595,-3453.0,0.39440000000000003,0.39440000000000003,0.2112,3301450127311.701,9,0.03357575757575758,0.018964863481361956,0.3001164939227852,12.653226375579834
29,0.025504938817632314,0.025504938817632314,0.04641332717163534,0.018930325256920368,95.50033830422498,4393.015561994349,-3280.0,41.004588607763516,1394.1560126639595,-3453.0,0.3942,0.3942,0.2116,3293789099701.2974,8,0.03567676767676767,0.024021020813062274,0.3024066183052842,13.112693309783936
30,0.025504938817632314,0.025504938817632314,0.04436862426620063,0.018337244904549646,98.95143227304601,4353.863020014024,-3280.0,41.004588607763516,1394.1560126639595,-3453.0,0.394,0.394,0.21200000000000002,3294220107453.801,12,0.03442424242424243,0.022978775456507804,0.3073252800391638,13.554710626602173
31,0.025504938817632314,0.025504938817632314,0.04359395266418683,0.018610583892151346,98.95143227304601,4353.863020014024,-3280.0,41.004588607763516,1394.1560126639595,-3453.0,0.39380000000000004,0.39380000000000004,0.2124,3315714786801.131,12,0.03608080808080808,0.023072946601376064,0.3183196092185995,13.978647708892822
32,0.02820400409177261,0.02820400409177261,0.04182415366144308,0.015705999884751326,98.95143227304601,4353.863020014024,-3280.0,41.004588607763516,1394.1560126639595,-3473.0,0.3936,0.3936,0.21280000000000002,3358788839942.088,11,0.03446464646464647,0.01928227262818502,0.3218798175160443,14.417528629302979
33,0.02820400409177261,0.02820400409177261,0.04390118725464413,0.016224800219055206,98.95143227304601,4353.863020014024,-3280.0,41.004588607763516,1394.1560126639595,-3473.0,0.3934,0.3934,0.2132,3299080675011.18,11,0.0351919191919192,0.018549790993257258,0.3284002043019946,14.846576452255249
34,0.02820400409177261,0.02820400409177261,0.04158806483132727,0.0143179603547184,98.95143227304601,4353.863020014024,-3280.0,41.004588607763516,1394.1560126639595,-3473.0,0.3932,0.3932,0.2136,3339271724357.103,12,0.034262626262626265,0.014789451147543063,0.32768121685418217,15.312329769134521
35,0.02820400409177261,0.02820400409177261,0.04431885085707558,0.018324008972174344,98.95143227304601,4353.863020014024,-3280.0,41.004588607763516,1394.1560126639595,-3473.0,0.393,0.393,0.21400000000000002,3327727755775.3345,13,0.03773737373737373,0.02147961547581597,0.3273323377163359,15.73073959350586
36,0.02820400409177261,0.02820400409177261,0.04455141648797011,0.017013996230375316,98.95143227304601,4353.863020014024,-3280.0,41.004588607763516,1394.1560126639595,-3473.0,0.39280000000000004,0.39280000000000004,0.2144,3332492147530.4873,7,0.03604040404040404,0.020122830717379567,0.3316843859549453,16.150117874145508
