generation,best_fitness,avg_fitness,std_fitness,best_G,best_tct,best_Makespan,best_profit,best_imbalance,ideal_G,ideal_tct,ideal_Makespan,ideal_profit,ideal_imbalance,weight_G,weight_travel,weight_Makespan,weight_profit,weight_imbalance,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.07478442101736264,0.15362560225239544,0.04330965539807455,-26046.662780875035,619.1258395750008,27860.662780875035,-3444.0,0.0,-2643.79941122084,98.34284512695592,4818.79941122084,-3643.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8001102681864652,23,0.4430733757341626,0.14581082622869573,0.16723178405228337,0.0
1,0.043848731450454766,0.1010765004113731,0.04797794817129208,-2250.5013262122075,89.48961096275433,4295.5013262122075,-3185.0,3.0912061651652345,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2497,0.2497,0.1003,0.1003,1.345367405923243,22,0.4007371430754209,0.14581082622869573,0.16723178405228337,0.6857800483703613
2,0.037259816207184625,0.08477825254588998,0.04363366495975505,-4501.593339725363,141.0346378201166,6487.593339725363,-3197.0,3.39934634239519,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2494,0.2494,0.10060000000000001,0.10060000000000001,1.2957286613158947,15,0.4046379454366735,0.19325337304252438,0.0951759712421434,1.169816493988037
3,0.03258145363408521,0.06203540903913987,0.027371451332918115,-4254.792918411817,132.7189982640812,6237.792918411817,-3253.0,3.681787005729087,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2491,0.2491,0.1009,0.1009,1.3275050161447006,15,0.32556158212355796,0.19321061274979734,0.05185423093995976,1.655259609222412
4,0.03258145363408521,0.05446281044493534,0.01784707388908124,-4254.792918411817,132.7189982640812,6237.792918411817,-3253.0,3.681787005729087,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2488,0.2488,0.10120000000000001,0.10120000000000001,1.3195361295616963,15,0.2757943673079697,0.185155010116261,0.047830170093206205,2.112001419067383
5,0.03258145363408521,0.050728344049429885,0.013980656766363356,-4254.792918411817,132.7189982640812,6237.792918411817,-3253.0,3.681787005729087,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2485,0.2485,0.1015,0.1015,1.323919244611016,18,0.30010929716976054,0.1887612411749684,0.04495854089326168,2.550339460372925
6,0.03258145363408521,0.048357660652837045,0.01122994218877278,-4254.792918411817,132.7189982640812,6237.792918411817,-3253.0,3.681787005729087,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2482,0.2482,0.1018,0.1018,1.348548683457371,18,0.3230717742118736,0.1963200270398462,0.046166344112174705,2.987755537033081
7,0.029072681704260653,0.04601603709532819,0.012030001167716756,-4903.521567713193,146.90264277637377,6757.521567713193,-3295.0,1.8856180831641267,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2479,0.2479,0.10210000000000001,0.10210000000000001,1.3662425943947154,19,0.3358896279614845,0.20403254337354526,0.038790347534641736,3.4230213165283203
8,0.029741019214703426,0.043431506442180835,0.010119000891971737,-3908.593005957764,131.513477408131,5786.593005957764,-3287.0,3.265986323710904,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2476,0.2476,0.1024,0.1024,1.3513200917483854,13,0.36365711500714437,0.2127641686845448,0.041966027705770535,3.864017963409424
9,0.029741019214703426,0.04225638461060033,0.010922005932129114,-3908.593005957764,131.513477408131,5786.593005957764,-3287.0,3.265986323710904,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2473,0.2473,0.10270000000000001,0.10270000000000001,1.356346877099963,14,0.3919798553468376,0.21300526559563648,0.038530209442495106,4.307695150375366
10,0.029741019214703426,0.04263619942197077,0.013102353087545164,-3908.593005957764,131.513477408131,5786.593005957764,-3287.0,3.265986323710904,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.247,0.247,0.10300000000000001,0.10300000000000001,1.3582249065712995,15,0.41347092405747365,0.21937423961335106,0.03627777622629818,4.741841793060303
11,0.02581453634085213,0.0415321550720897,0.011208368112371284,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2467,0.2467,0.1033,0.1033,1.3378368131107656,17,0.4173966372612399,0.22364607323036856,0.038928584808913765,5.173932313919067
12,0.02581453634085213,0.040590360082890325,0.013353972712316012,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2464,0.2464,0.10360000000000001,0.10360000000000001,1.3499286890410314,20,0.4258288669507459,0.22704556417530863,0.03940720897941647,5.605538368225098
13,0.02581453634085213,0.044015659233989084,0.014451450344851707,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.24609999999999999,0.24609999999999999,0.1039,0.1039,1.3401886625053783,12,0.4414954992200787,0.22723935323448308,0.030199281831723462,6.041713714599609
14,0.02581453634085213,0.042419708753376834,0.012083651493669528,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2458,0.2458,0.10420000000000001,0.10420000000000001,1.3218663609430459,12,0.451757944178593,0.22937644193566464,0.036190665040889046,6.462535381317139
15,0.02581453634085213,0.04531548213418498,0.015592984385476086,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2455,0.2455,0.10450000000000001,0.10450000000000001,1.3094447763896149,7,0.4656788182124368,0.23488599625018605,0.03575062109061703,6.903787851333618
16,0.02581453634085213,0.042957742738615065,0.01365607222353653,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2452,0.2452,0.1048,0.1048,1.3187412452675131,7,0.46654596083012984,0.23779514893400505,0.04158050368435041,7.31688117980957
17,0.02581453634085213,0.04306173447244786,0.013138892600182816,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2449,0.2449,0.1051,0.1051,1.382455309341072,10,0.4740855592954484,0.23840570200894393,0.04091856156258437,7.725200653076172
18,0.02581453634085213,0.044655244283887126,0.01312995351598229,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.24459999999999998,0.24459999999999998,0.1054,0.1054,1.3168874817844152,10,0.4843954182564502,0.23751732784848478,0.03983952767116256,8.148630380630493
19,0.02581453634085213,0.043111967419941104,0.01592173691514937,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2443,0.2443,0.1057,0.1057,1.3098305228308804,10,0.482445028620787,0.24000185094341336,0.03511137448548559,8.556857347488403
20,0.02581453634085213,0.045682310687303385,0.017042598367357813,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.244,0.244,0.106,0.106,1.3289608950762848,10,0.48015144921080377,0.23683018970943454,0.033588640748430924,8.963830947875977
21,0.02581453634085213,0.04514844317315749,0.014469169387903782,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2437,0.2437,0.10629999999999999,0.10629999999999999,1.3374422307259441,8,0.4868597526584245,0.2386178688679203,0.03530025794074261,9.376362085342407
22,0.02581453634085213,0.04413172346805883,0.015224078229378735,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.24339999999999998,0.24339999999999998,0.1066,0.1066,1.3356479985183065,11,0.484464349008669,0.24278983575397078,0.03967586508991621,9.772698402404785
23,0.02581453634085213,0.043805889997870676,0.012283488968829826,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.24309999999999998,0.24309999999999998,0.1069,0.1069,1.3265628571869132,10,0.48456821363367575,0.23946272589212048,0.03385471642268515,10.18011999130249
24,0.02581453634085213,0.045653369921112574,0.014057912695733043,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2428,0.2428,0.1072,0.1072,1.3425716231034182,11,0.4896717544149884,0.23894516556611126,0.03822299595064752,10.617371559143066
25,0.02581453634085213,0.045094581213908684,0.01455617635146263,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2425,0.2425,0.1075,0.1075,1.3314893235827852,13,0.489162446210923,0.2414368311859082,0.042430050786543716,11.073276042938232
26,0.02581453634085213,0.04714278080815713,0.015232232850212319,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2422,0.2422,0.10779999999999999,0.10779999999999999,1.3385885915770768,10,0.4897344787445466,0.23980459143811417,0.038434094135330436,11.506401062011719
27,0.02581453634085213,0.045637307858796286,0.013727110531284678,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.24189999999999998,0.24189999999999998,0.1081,0.1081,1.316103297480566,8,0.4925614615870179,0.242643581197423,0.0361321673063817,11.906080961227417
28,0.02581453634085213,0.04548451617114368,0.015193006118074065,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.24159999999999998,0.24159999999999998,0.1084,0.1084,1.3475144354296331,12,0.4926629546023093,0.24372067768331632,0.034186494041041904,12.309728860855103
29,0.02581453634085213,0.04532009698130875,0.013878811474616956,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2413,0.2413,0.1087,0.1087,1.3219924823871032,9,0.4884617371541849,0.24471026138655627,0.03663034898760851,12.728517055511475
30,0.02581453634085213,0.044457283236768425,0.012201329276187958,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.241,0.241,0.109,0.109,1.3165979142826743,7,0.4970127797916969,0.24412663063005635,0.037872539249165525,13.129336595535278
31,0.02581453634085213,0.04413700542415877,0.011572782315735549,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2407,0.2407,0.1093,0.1093,1.3569347851292837,7,0.4910301464806045,0.2414513986039446,0.03735914680878904,13.533951997756958
32,0.02581453634085213,0.04209167408682359,0.011629786085057022,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.24039999999999997,0.24039999999999997,0.1096,0.1096,1.325146753686024,11,0.477910037455706,0.23716260474933923,0.03795465135214249,13.93410062789917
33,0.02581453634085213,0.04071946968881551,0.00925034808182748,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.24009999999999998,0.24009999999999998,0.1099,0.1099,1.3325228682763925,11,0.45894643146921943,0.23497892764676687,0.03844437861287137,14.329362630844116
34,0.02581453634085213,0.043423234992847386,0.014142858141122264,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.23979999999999999,0.23979999999999999,0.1102,0.1102,1.3350601975865346,8,0.46854119777941783,0.2336732644297531,0.03594679044850107,14.741664409637451
35,0.02581453634085213,0.039900453849149864,0.011947188363847996,-3926.3690205789935,128.8526449017554,5798.3690205789935,-3334.0,1.632993161855452,-841.3057715268478,65.73302681094408,2232.305771526848,-3643.0,0.0,0.3,0.2395,0.2395,0.1105,0.1105,1.3329903088778388,8,0.48141550413078305,0.23466637497518722,0.03807624258202043,15.141825437545776
