generation,best_fitness,avg_fitness,std_fitness,best_G,best_tct,best_Makespan,best_profit,best_imbalance,ideal_G,ideal_tct,ideal_Makespan,ideal_profit,ideal_imbalance,weight_G,weight_travel,weight_Makespan,weight_profit,weight_imbalance,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.026973684210526316,0.14182665472275915,0.052605773327730546,-16606.268666166518,401.37540578622867,18463.268666166518,-3485.0,0.4714045207910317,-2643.79941122084,98.34284512695592,4818.79941122084,-3567.0,0.0,1.0,1.0,1.0,1.0,1.0,1.1428389656673363,31,0.36808514438689,0.14515843367408937,0.16576390287060738,0.0
1,0.035004321521175455,0.10351947410843393,0.050157608850787336,-3050.6063793389085,105.66543631303895,5177.6063793389085,-3162.0,0.9428090415820634,-1578.214918748431,81.08037296871078,2642.6393348615507,-3567.0,0.0,0.3,0.2497,0.2497,0.1003,0.1003,1.4728363581600872,13,0.4216587297462192,0.14515843367408937,0.16576390287060738,0.7283501625061035
2,0.027308917197452234,0.10327814985689501,0.04465722227423888,-6860.032334506046,192.00070292404448,8832.032334506046,-3224.0,0.9428090415820634,-1578.214918748431,81.08037296871078,2642.6393348615507,-3567.0,0.0,0.3,0.2494,0.2494,0.10060000000000001,0.10060000000000001,1.3868964761541156,11,0.4584283693148862,0.21341738695669016,0.1025130205012814,1.1476781368255615
3,0.02632794457274827,0.09016445532312278,0.0448869079339657,-5490.31706749558,158.53866101054425,7451.31706749558,-3225.0,0.816496580927726,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2491,0.2491,0.1009,0.1009,1.4118684561557093,9,0.4369089088233579,0.22387440098551387,0.0686461598115722,1.565319538116455
4,0.02548113933795227,0.06577533162146468,0.028295813468954063,-4587.784291213222,140.12307002581323,6585.784291213222,-3236.0,1.247219128924647,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2488,0.2488,0.10120000000000001,0.10120000000000001,1.419281052859662,9,0.41207111842026956,0.2163396084857951,0.05656857529013523,2.0926411151885986
5,0.021170130869899925,0.0521266203788314,0.02303301787888036,-6184.647822341295,172.86484728385733,8124.647822341295,-3292.0,1.8856180831641267,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2485,0.2485,0.1015,0.1015,1.4341481506515013,15,0.37069438175291497,0.2115323142860333,0.06315970905678443,2.5156381130218506
6,0.021170130869899925,0.044612704641219754,0.013865806980819217,-6184.647822341295,172.86484728385733,8124.647822341295,-3292.0,1.8856180831641267,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2482,0.2482,0.1018,0.1018,1.4162385334416832,17,0.36335455139311357,0.20523573572983816,0.049740268079526244,2.968545913696289
7,0.016936104695919937,0.03682509757197432,0.011591270590709536,-4058.033299683091,131.3340733262909,5910.033299683091,-3347.0,2.8674417556808756,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2479,0.2479,0.10210000000000001,0.10210000000000001,1.435196504298532,18,0.37481862326037985,0.21329059530201944,0.04597791970282276,3.4348690509796143
8,0.016936104695919937,0.03650857833284253,0.011244722787878294,-4058.033299683091,131.3340733262909,5910.033299683091,-3347.0,2.8674417556808756,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2476,0.2476,0.1024,0.1024,1.399244311732097,11,0.39736876382967073,0.21123249548335038,0.036965247035164135,3.897765874862671
9,0.016936104695919937,0.0342232225604923,0.009343364280455898,-4058.033299683091,131.3340733262909,5910.033299683091,-3347.0,2.8674417556808756,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2473,0.2473,0.10270000000000001,0.10270000000000001,1.4712366573235753,9,0.40360436523297033,0.2158732023393604,0.038030276203152406,4.324436187744141
10,0.016467169800534143,0.0336760222540241,0.01130167624096152,-4114.096675583437,133.09103723518749,5989.096675583437,-3440.0,3.2998316455372216,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.247,0.247,0.10300000000000001,0.10300000000000001,1.4448265728824052,18,0.4287317629137393,0.22072433049706364,0.03601772198327037,4.750732898712158
11,0.016467169800534143,0.0340978931310541,0.012602263902328218,-4114.096675583437,133.09103723518749,5989.096675583437,-3440.0,3.2998316455372216,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2467,0.2467,0.1033,0.1033,1.450584605033121,16,0.45440784617489427,0.22855215153009062,0.03469054522770011,5.208265066146851
12,0.016467169800534143,0.03118098360590238,0.01085463474901267,-4114.096675583437,133.09103723518749,5989.096675583437,-3440.0,3.2998316455372216,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2464,0.2464,0.10360000000000001,0.10360000000000001,1.4650965711033834,15,0.44983377300159605,0.22953353898474343,0.03956986642321566,5.6905434131622314
13,0.016298271286507997,0.029560905011029745,0.011279828286595857,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.24609999999999999,0.24609999999999999,0.1039,0.1039,1.4444545034131373,12,0.45891394676087915,0.22809559478584523,0.033185297364428455,6.176874876022339
14,0.016298271286507997,0.030081585359454818,0.010549837105357158,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2458,0.2458,0.10420000000000001,0.10420000000000001,1.4539231568304254,14,0.45186342178058864,0.2282726028482254,0.03576690818219091,6.651848554611206
15,0.016298271286507997,0.030281125526857466,0.009567686861658105,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2455,0.2455,0.10450000000000001,0.10450000000000001,1.4813619025061997,15,0.46156669180730797,0.23009457151078855,0.031074603323569313,7.119693756103516
16,0.016298271286507997,0.029677380786364976,0.012049937643134048,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2452,0.2452,0.1048,0.1048,1.4656431535917305,19,0.4558951490623601,0.23198925766544665,0.03437262202871038,6.83461856842041
17,0.016298271286507997,0.03116769502185787,0.011233438612254272,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2449,0.2449,0.1051,0.1051,1.4378822779490872,17,0.4700167964671909,0.23291534832480013,0.040216814779088554,7.258610248565674
18,0.016298271286507997,0.02889015239362444,0.008844995488365924,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.24459999999999998,0.24459999999999998,0.1054,0.1054,1.4472964805083868,19,0.4718495681168371,0.23307914855550832,0.03514453180919575,7.6819798946380615
19,0.016298271286507997,0.030448243185937637,0.010530128397461345,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2443,0.2443,0.1057,0.1057,1.4677771888841953,9,0.4805923152757453,0.23472000118968245,0.03202218592222922,8.106520175933838
20,0.016298271286507997,0.03017630291568851,0.010854206241345586,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.244,0.244,0.106,0.106,1.4717601621356111,14,0.490197408616443,0.2322026459951385,0.03568633703318732,8.530720949172974
21,0.016298271286507997,0.028139405435511192,0.009292652197701385,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2437,0.2437,0.10629999999999999,0.10629999999999999,1.471393730937591,13,0.4899687787898978,0.23409046231745456,0.036596758763539135,8.963951110839844
22,0.016298271286507997,0.030642546654418235,0.011541507100668183,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.24339999999999998,0.24339999999999998,0.1066,0.1066,1.4507025967646638,13,0.4892034293766961,0.23398791817167117,0.03554805871665829,9.397328853607178
23,0.016298271286507997,0.02930598177641673,0.010266468365761464,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.24309999999999998,0.24309999999999998,0.1069,0.1069,1.5144005007859522,15,0.49411894483685315,0.23678900090697066,0.03636616203447104,9.816279411315918
24,0.016298271286507997,0.03022204187205797,0.012929826353868579,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2428,0.2428,0.1072,0.1072,1.4636882940269103,17,0.4776820736202897,0.2372594252830949,0.0378439487973789,10.235666275024414
25,0.016298271286507997,0.02973002938001942,0.009549409463587111,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2425,0.2425,0.1075,0.1075,1.476222547841883,17,0.4823681034551093,0.23421017261619903,0.035694838504367776,10.672263145446777
26,0.016298271286507997,0.030605153232888403,0.010266196841888793,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.2422,0.2422,0.10779999999999999,0.10779999999999999,1.4575757120181998,16,0.47636575341875625,0.23412434006738186,0.0367112987432219,11.128269672393799
27,0.016298271286507997,0.03140952468652993,0.011611593333434112,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.24189999999999998,0.24189999999999998,0.1081,0.1081,1.4467177993057305,18,0.47981615517690335,0.2312569993362615,0.03480007251805574,11.589142799377441
28,0.016298271286507997,0.03068928391633322,0.01147079305979459,-4167.323050915089,133.4294011314464,6004.323050915089,-3361.0,3.265986323710904,-1384.5597186671635,74.21726633334463,2642.6393348615507,-3567.0,0.0,0.3,0.24159999999999998,0.24159999999999998,0.1084,0.1084,1.4723318602544917,14,0.4847386516241327,0.23460909654102607,0.035470728218614085,12.016921520233154
