generation,best_fitness,avg_fitness,std_fitness,best_G,best_tct,best_Makespan,best_profit,best_imbalance,ideal_G,ideal_tct,ideal_Makespan,ideal_profit,ideal_imbalance,weight_G,weight_travel,weight_Makespan,weight_profit,weight_imbalance,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.05443234836702955,0.14963784219488083,0.0459813973043723,-24328.965517449447,581.2436781655433,26155.965517449447,-3427.0,0.9428090415820634,-2643.79941122084,98.34284512695592,4818.79941122084,-3602.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9003745400337547,23,0.41128517209564136,0.1455379762665559,0.16624384521826852,0.0
1,0.04575163398692811,0.11737001242367695,0.04812746662943639,-5037.750527209565,148.1406359835326,7110.750527209565,-3112.0,0.0,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2497,0.2497,0.1003,0.1003,1.4057101735979818,11,0.4565640177031821,0.1455379762665559,0.16624384521826852,0.680382490158081
2,0.04061334438458351,0.13016435020147565,0.04114479124902287,-5037.750527209565,148.1406359835326,7110.750527209565,-3112.0,0.0,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2494,0.2494,0.10060000000000001,0.10060000000000001,1.2705186517371634,7,0.4787760158908339,0.2100840757264721,0.10447104930065065,1.086026668548584
3,0.04022988505747127,0.11284826419977645,0.037358311066618084,-5037.750527209565,148.1406359835326,7110.750527209565,-3112.0,0.0,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2491,0.2491,0.1009,0.1009,1.2717249189150988,10,0.49887678161945326,0.23953194759323815,0.0710617439959058,1.4697449207305908
4,0.034811165845648605,0.09780372670723123,0.03572799615209895,-4529.716734173804,140.84166813421314,6478.716734173804,-3178.0,2.160246899469287,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2488,0.2488,0.10120000000000001,0.10120000000000001,1.2998859514400785,7,0.458414788414828,0.24355934123920042,0.0566079588699299,1.8666493892669678
5,0.034811165845648605,0.08671475255678578,0.030981012299700947,-4529.716734173804,140.84166813421314,6478.716734173804,-3178.0,2.160246899469287,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2485,0.2485,0.1015,0.1015,1.318286555318941,7,0.44152394269824247,0.2373725217763719,0.054835097845438774,2.3810179233551025
6,0.034811165845648605,0.07296101901355524,0.02179833263783457,-4529.716734173804,140.84166813421314,6478.716734173804,-3178.0,2.160246899469287,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2482,0.2482,0.1018,0.1018,1.257073539679622,9,0.4077794443085846,0.23104347032796124,0.05253549826927007,2.788208246231079
7,0.034811165845648605,0.06513998527453786,0.020546704102729053,-4529.716734173804,140.84166813421314,6478.716734173804,-3178.0,2.160246899469287,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2479,0.2479,0.10210000000000001,0.10210000000000001,1.301816044334086,13,0.41855339626219956,0.22673604848384674,0.04784134745164106,3.1774730682373047
8,0.030623973727422007,0.06404527848975781,0.018539889127190474,-6269.116172929505,175.44928027509587,8246.116172929505,-3229.0,2.160246899469287,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2476,0.2476,0.1024,0.1024,1.2947158421638245,11,0.42650297377519486,0.22462849783806488,0.04170707804208451,3.5743305683135986
9,0.030623973727422007,0.061137221108291735,0.019099530915502594,-6269.116172929505,175.44928027509587,8246.116172929505,-3229.0,2.160246899469287,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2473,0.2473,0.10270000000000001,0.10270000000000001,1.3289134189498308,12,0.44885136479691184,0.22677265740842395,0.04669891737411874,3.973759889602661
10,0.02684729064039409,0.05557207672689422,0.016765382249034257,-5036.09100042448,146.75189584217665,7044.09100042448,-3275.0,1.632993161855452,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.247,0.247,0.10300000000000001,0.10300000000000001,1.3153247130889218,12,0.4578770396707538,0.2289708913973138,0.04619684455640646,4.36781120300293
11,0.02684729064039409,0.05246932240576882,0.01707125011227209,-5036.09100042448,146.75189584217665,7044.09100042448,-3275.0,1.632993161855452,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2467,0.2467,0.1033,0.1033,1.3104038931661213,8,0.44863787961953633,0.2280317866168497,0.04273192859671232,4.785197496414185
12,0.02684729064039409,0.050723144312549574,0.013779891786706775,-5036.09100042448,146.75189584217665,7044.09100042448,-3275.0,1.632993161855452,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2464,0.2464,0.10360000000000001,0.10360000000000001,1.299252953712338,7,0.45792298121819697,0.2271856680917751,0.04263364705317194,5.196000099182129
13,0.02684729064039409,0.05139610803877928,0.015569022184220505,-5036.09100042448,146.75189584217665,7044.09100042448,-3275.0,1.632993161855452,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.24609999999999999,0.24609999999999999,0.1039,0.1039,1.32862092391373,11,0.45981623865999083,0.22474142002863717,0.041685352698192464,5.585883855819702
14,0.02684729064039409,0.0522543829102678,0.015828943622690994,-5036.09100042448,146.75189584217665,7044.09100042448,-3275.0,1.632993161855452,-472.39026469955684,54.068293277130195,1892.3902646995568,-3602.0,0.0,0.3,0.2458,0.2458,0.10420000000000001,0.10420000000000001,1.3104619257996024,6,0.46263036312679306,0.22938324320782438,0.04165253853641999,5.980474948883057
