generation,best_G_benchmark,best_fitness,avg_fitness,std_fitness,best_tct,best_Makespan,best_profit,ideal_tct,ideal_Makespan,ideal_profit,weight_travel,weight_Makespan,weight_profit,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.0071661631993659896,0.0071661631993659896,0.10885873598251777,0.09012039643154089,156.03035935544855,7801.517967772428,-3065.0,98.34284512695592,4818.79941122084,-3077.0,1.0,1.0,1.0,2942742474795.5674,15,0.09515151515151515,0.27036118929462266,0.2756455379893975,0.0
1,0.013784461152882205,0.013784461152882205,0.05611054072560651,0.07412577072486594,91.38604065066289,4477.915991882482,-3073.0,42.375731749537216,1483.1506112338025,-3150.0,0.39980000000000004,0.39980000000000004,0.20040000000000002,3087588576862.841,11,0.0376969696969697,0.043341624766281915,0.23479016844830364,0.7408664226531982
2,0.016578989319304956,0.016578989319304956,0.03431386378226776,0.036982790964565214,97.7446582206671,4789.488252812688,-3093.0,42.375731749537216,1483.1506112338025,-3197.0,0.3996,0.3996,0.2008,3110744844426.817,14,0.020767676767676765,0.022112614587964412,0.23140369186836296,1.1365411281585693
3,0.01565680288085173,0.01565680288085173,0.02980162943311834,0.012075238841141221,98.86274247641852,4745.411638868089,-3135.0,42.375731749537216,1483.1506112338025,-3235.0,0.39940000000000003,0.39940000000000003,0.20120000000000002,3152088787016.6523,9,0.02193939393939394,0.00911506251068373,0.23221013032689394,1.5341932773590088
4,0.016103814884302688,0.016103814884302688,0.02733039122864497,0.010594192074905986,98.86274247641852,4745.411638868089,-3135.0,42.375731749537216,1483.1506112338025,-3238.0,0.3992,0.3992,0.2016,3137918051869.181,11,0.0261010101010101,0.00962217632243202,0.23344367063151064,1.9359281063079834
5,0.011126352690138697,0.011126352690138697,0.03269573477968872,0.012598805298077968,115.89687906069543,5563.05019491338,-3220.0,42.375731749537216,1483.1506112338025,-3293.0,0.399,0.399,0.202,3193490028871.8594,12,0.026585858585858584,0.009398863721248568,0.23495049128939138,2.425902843475342
6,0.016918152720621856,0.016918152720621856,0.02854439893238331,0.011899869215113327,96.70308474384632,4641.748067704623,-3182.0,42.375731749537216,1483.1506112338025,-3293.0,0.39880000000000004,0.39880000000000004,0.20240000000000002,3197017895376.167,11,0.03200000000000001,0.00711209348874884,0.23894641156550533,2.868680715560913
7,0.018260739410267922,0.018260739410267922,0.029590244637369638,0.01098110374235421,109.81265022323953,5271.007210715497,-3211.0,42.375731749537216,1483.1506112338025,-3333.0,0.3986,0.3986,0.2028,3204589294731.7812,10,0.03498989898989899,0.0096651266190053,0.24326117932084168,3.3144724369049072
8,0.014940983116689076,0.014940983116689076,0.028337573241863923,0.011136675184037284,107.83300115331508,5068.151054205809,-3237.0,42.375731749537216,1483.1506112338025,-3337.0,0.39840000000000003,0.39840000000000003,0.20320000000000002,3222862261779.8022,11,0.03301010101010101,0.007692813108039976,0.24622849635080846,3.7256596088409424
9,0.024211711711711707,0.024211711711711707,0.04179499941440251,0.012497563527610668,143.27092765403282,6590.462672085509,-3302.0,42.375731749537216,1483.1506112338025,-3474.0,0.3982,0.3982,0.2036,3352952299009.1646,12,0.03309090909090909,0.007807958421787605,0.251995798261569,4.145207643508911
10,0.021818693693693693,0.021818693693693693,0.03897403050520096,0.01316485798363763,123.56355729597212,5807.487192910689,-3319.0,42.375731749537216,1483.1506112338025,-3474.0,0.398,0.398,0.20400000000000001,3312194683140.2603,12,0.036404040404040404,0.010809967175600559,0.26453290776307564,4.574204444885254
11,0.021818693693693693,0.021818693693693693,0.0352065506994218,0.013173480844760705,123.56355729597212,5807.487192910689,-3319.0,42.375731749537216,1483.1506112338025,-3474.0,0.39780000000000004,0.39780000000000004,0.2044,3323596117746.9185,14,0.03490909090909091,0.009447231637826597,0.2725548306141342,5.021204233169556
12,0.02022720975339429,0.02022720975339429,0.036686318613236346,0.012490749580730785,126.67828517905325,5953.879403415503,-3366.0,42.375731749537216,1483.1506112338025,-3512.0,0.3976,0.3976,0.2048,3373536342185.641,10,0.03709090909090909,0.008978171051354006,0.2813233323621628,5.489224433898926
