generation,best_G_benchmark,best_fitness,avg_fitness,std_fitness,best_tct,best_Makespan,best_profit,ideal_tct,ideal_Makespan,ideal_profit,weight_travel,weight_Makespan,weight_profit,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.008391262003184831,0.008391262003184831,0.10952585080335446,0.09057130621646924,156.03035935544855,7801.517967772428,-3065.0,98.34284512695592,4818.79941122084,-3077.0,1.0,1.0,1.0,2942727435807.3726,15,0.0926060606060606,0.27171391864940775,0.2787687250143793,0.0
1,0.017609391675560297,0.017609391675560297,0.06113277738484596,0.07831896023742137,103.10184560705692,5051.990434745789,-3056.0,44.760828916232796,1387.5856964032166,-3155.0,0.39980000000000004,0.39980000000000004,0.20040000000000002,3087252951025.8135,9,0.038303030303030304,0.046139277551173495,0.23314752002154862,0.6327564716339111
2,0.016720028459622907,0.016720028459622907,0.032264922203276855,0.028249891491172772,82.49845974051351,3877.427607804135,-3061.0,44.760828916232796,1387.5856964032166,-3155.0,0.3996,0.3996,0.2008,3072504007995.4185,9,0.021898989898989897,0.017141752143180873,0.23078664152468492,1.039093017578125
3,0.01826722338204593,0.01826722338204593,0.03178572444031633,0.011188567133845698,94.84207324482121,4647.261588996239,-3092.0,44.760828916232796,1387.5856964032166,-3197.0,0.39940000000000003,0.39940000000000003,0.20120000000000002,3098733839370.849,8,0.018707070707070707,0.010049291766661106,0.2330277845872311,1.4417874813079834
4,0.01826722338204593,0.01826722338204593,0.02939805774992398,0.01051988537683574,94.84207324482121,4647.261588996239,-3092.0,44.760828916232796,1387.5856964032166,-3197.0,0.3992,0.3992,0.2016,3102831357751.137,10,0.02121212121212121,0.010043507907326688,0.23410126345884807,1.8318474292755127
5,0.01826722338204593,0.01826722338204593,0.02669570299127041,0.011734090711242658,94.84207324482121,4647.261588996239,-3092.0,44.760828916232796,1387.5856964032166,-3197.0,0.399,0.399,0.202,3093556319956.4673,13,0.021737373737373736,0.007036055539353111,0.23506328160025416,2.2159335613250732
6,0.022982804232804233,0.022982804232804233,0.03678474573590203,0.011345505747072786,109.30606217235344,5355.997046445318,-3158.0,44.760828916232796,1387.5856964032166,-3297.0,0.39880000000000004,0.39880000000000004,0.20240000000000002,3198572421968.0854,7,0.026909090909090903,0.009210278486920243,0.23622971590153394,2.6964259147644043
7,0.01339212804180957,0.01339212804180957,0.03857736948232692,0.014862651866554439,110.32741824578272,5406.043494043353,-3240.0,44.760828916232796,1387.5856964032166,-3322.0,0.3986,0.3986,0.2028,3221866663281.3022,16,0.03066666666666667,0.010399052192180932,0.2389090183206066,3.1119465827941895
8,0.0171484566389025,0.0171484566389025,0.034205871579021864,0.014374542843537829,105.31024556656841,4949.581541628715,-3217.0,44.760828916232796,1387.5856964032166,-3322.0,0.39840000000000003,0.39840000000000003,0.20320000000000002,3198577938147.4385,12,0.03236363636363636,0.008705823369766837,0.24284640916125416,3.5209922790527344
9,0.0236724248240563,0.0236724248240563,0.03710103820522978,0.014456507961055774,105.31024556656841,4949.581541628715,-3217.0,44.760828916232796,1387.5856964032166,-3365.0,0.3982,0.3982,0.2036,3236189241759.8306,9,0.03616161616161616,0.01137257816648336,0.2484220925102703,3.899935722351074
10,0.020153550863723606,0.020153550863723606,0.03457292205515527,0.013361538483629445,111.51354532631169,5018.109539684026,-3239.0,44.760828916232796,1387.5856964032166,-3365.0,0.398,0.398,0.20400000000000001,3234214726836.444,12,0.037171717171717175,0.010004537352375345,0.2538620462831205,4.26902961730957
11,0.012856694888679836,0.012856694888679836,0.0391806436557334,0.014485795975565761,105.6439393619987,4859.621210651941,-3325.0,44.760828916232796,1387.5856964032166,-3407.0,0.39780000000000004,0.39780000000000004,0.2044,3292476689330.191,6,0.03628282828282828,0.013529122746406864,0.25689300401845216,4.648387670516968
12,0.012856694888679836,0.012856694888679836,0.03972997412950754,0.0170744299566392,105.6439393619987,4859.621210651941,-3325.0,44.760828916232796,1387.5856964032166,-3407.0,0.3976,0.3976,0.2048,3288236657249.956,6,0.04028282828282828,0.014608149181925845,0.2643198422488893,5.038552284240723
13,0.020508111417202324,0.020508111417202324,0.04076995768285806,0.016436388907402746,105.6439393619987,4859.621210651941,-3325.0,44.760828916232796,1387.5856964032166,-3459.0,0.39740000000000003,0.39740000000000003,0.20520000000000002,3332005577749.5767,11,0.04064646464646464,0.013208965795295728,0.27430016074811464,5.427060127258301
14,0.020508111417202324,0.020508111417202324,0.038344925658758904,0.018089198981656906,105.6439393619987,4859.621210651941,-3325.0,44.760828916232796,1387.5856964032166,-3459.0,0.3972,0.3972,0.2056,3325050308060.0015,9,0.04290909090909091,0.014622754577968465,0.2842283025964965,5.828561067581177
15,0.02470238095238095,0.02470238095238095,0.041942715454947516,0.01664193925094717,113.80866856471489,5349.0074225416,-3355.0,44.760828916232796,1387.5856964032166,-3521.0,0.397,0.397,0.20600000000000002,3395393546641.7944,9,0.04092929292929293,0.012077976086987081,0.2905131104256693,6.220135927200317
