generation,best_G_benchmark,best_fitness,avg_fitness,std_fitness,best_tct,best_Makespan,best_profit,ideal_tct,ideal_Makespan,ideal_profit,weight_travel,weight_Makespan,weight_profit,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.011057969870663348,0.011057969870663348,0.11960727370815734,0.10249459894967322,156.03035935544855,7801.517967772428,-3065.0,98.34284512695592,4818.79941122084,-3065.0,1.0,1.0,1.0,2931299249454.792,17,0.09644444444444446,0.30748379684901966,0.2779835014741841,0.0
1,0.02072310405643739,0.02072310405643739,0.06070392900478147,0.08093376542485337,93.7837442191192,4407.835978298603,-3034.0,38.33452084536537,1188.3701462063264,-3128.0,0.39980000000000004,0.39980000000000004,0.20040000000000002,3065929493594.033,15,0.025858585858585862,0.047120106130770285,0.230207012627494,0.6258590221405029
2,0.023310023310023312,0.023310023310023312,0.040254186219180345,0.013014209399198205,92.21452202466239,4518.511579208457,-3079.0,38.33452084536537,1188.3701462063264,-3189.0,0.3996,0.3996,0.2008,3107635776690.3315,11,0.016565656565656565,0.010918246311654018,0.2301893705575661,1.013932466506958
3,0.014291719209751997,0.014291719209751997,0.0377048213633047,0.012263109909883167,92.14952347366064,4515.326650209371,-3134.0,38.33452084536537,1188.3701462063264,-3202.0,0.39940000000000003,0.39940000000000003,0.20120000000000002,3109304349054.1377,8,0.019757575757575762,0.008864549924789725,0.2319953174447586,1.404205322265625
4,0.014291719209751997,0.014291719209751997,0.03737580655142528,0.015352946746558052,92.14952347366064,4515.326650209371,-3134.0,38.33452084536537,1188.3701462063264,-3202.0,0.3992,0.3992,0.2016,3121508929426.8525,6,0.020686868686868688,0.012052630554041608,0.23343296586423903,1.7787103652954102
5,0.019047619047619046,0.019047619047619046,0.03742655992604169,0.01577006944264963,92.14952347366064,4515.326650209371,-3134.0,38.33452084536537,1188.3701462063264,-3226.0,0.399,0.399,0.202,3140905407376.656,10,0.024606060606060604,0.012766922832551824,0.23499581967220332,2.1501054763793945
6,0.016455950230784666,0.016455950230784666,0.04107947518356589,0.01590163129318234,76.38737275169159,3666.593892081196,-3195.0,38.33452084536537,1188.3701462063264,-3277.0,0.39880000000000004,0.39880000000000004,0.20240000000000002,3181101881388.7505,6,0.024202020202020197,0.009821756311407396,0.23660630146183675,2.526184320449829
7,0.021339656194427976,0.021339656194427976,0.040210842339134745,0.013686876281319111,76.38737275169159,3666.593892081196,-3195.0,38.33452084536537,1188.3701462063264,-3303.0,0.3986,0.3986,0.2028,3203410734503.45,7,0.0267070707070707,0.012591958832731807,0.23837908568335414,2.9009830951690674
8,0.024129208017123954,0.024129208017123954,0.04322250894065355,0.015926764351894346,100.61803665121045,4628.429685955681,-3205.0,38.33452084536537,1188.3701462063264,-3329.0,0.39840000000000003,0.39840000000000003,0.20320000000000002,3222177513431.0913,9,0.031353535353535356,0.013062069270658727,0.24333501225573026,3.274225950241089
9,0.024129208017123954,0.024129208017123954,0.04268049145570762,0.017850510519290964,100.61803665121045,4628.429685955681,-3205.0,38.33452084536537,1188.3701462063264,-3329.0,0.3982,0.3982,0.2036,3219840910097.035,10,0.03397979797979798,0.015214940111330467,0.24736330425033512,3.6892106533050537
