generation,best_fitness,avg_fitness,std_fitness,best_G,best_tct,best_Makespan,best_profit,best_imbalance,ideal_G,ideal_tct,ideal_Makespan,ideal_profit,ideal_imbalance,weight_G,weight_travel,weight_Makespan,weight_profit,weight_imbalance,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.05525179856115108,0.14512666728065218,0.04939365380350628,-19774.707802701414,479.482395615587,21576.707802701414,-3462.0,1.247219128924647,-2643.79941122084,98.34284512695592,4818.79941122084,-3654.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8628712657410318,23,0.44468615984460746,0.14492103625429997,0.16925763555014425,0.0
1,0.042289209261686334,0.09972288761696642,0.04500655634632225,-4983.433271066686,145.07006675646298,7108.433271066686,-3170.0,1.632993161855452,-1364.1033438521235,73.6941003653507,2955.1033438521235,-3654.0,0.0,0.3,0.2497,0.2497,0.1003,0.1003,1.3810378000979597,11,0.38886201213316696,0.14492103625429997,0.16925763555014425,0.6793859004974365
2,0.03565377532228361,0.08209837393384067,0.040719976789671104,-4983.433271066686,145.07006675646298,7108.433271066686,-3170.0,1.632993161855452,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2494,0.2494,0.10060000000000001,0.10060000000000001,1.3859378229625816,14,0.48834754816725257,0.2190881997893294,0.09948152174780957,1.1064627170562744
3,0.03300184162062615,0.07079402921866,0.030948101663314007,-4581.254112031205,139.28200238364266,6546.254112031205,-3206.0,1.247219128924647,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2491,0.2491,0.1009,0.1009,1.356009162338955,12,0.3854121032118917,0.2127928173399099,0.06920439789897607,1.5298237800598145
4,0.027108655616942912,0.05464085031186173,0.020742255252169755,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2488,0.2488,0.10120000000000001,0.10120000000000001,1.3812975423078395,13,0.3327515087433627,0.20904766043957268,0.05134160898661594,1.9708983898162842
5,0.027108655616942912,0.04976239174651995,0.01883048728059719,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2485,0.2485,0.1015,0.1015,1.3163795130305653,14,0.3209021966854628,0.19433819172484962,0.04841666562658545,2.388514280319214
6,0.027108655616942912,0.042280647357180526,0.011112864359637018,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2482,0.2482,0.1018,0.1018,1.3657734640782933,13,0.33125925856759564,0.20455707225027722,0.043999625543875605,2.8314802646636963
7,0.027108655616942912,0.04091218024275121,0.010499205898414216,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2479,0.2479,0.10210000000000001,0.10210000000000001,1.3118471062687054,12,0.3461621583547126,0.20570624795085724,0.03954401227134954,3.251014232635498
8,0.027108655616942912,0.04159712276301596,0.010660106468075003,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2476,0.2476,0.1024,0.1024,1.365021264745726,7,0.3915967746557751,0.21069815505674494,0.04106968420873119,3.6668241024017334
9,0.027108655616942912,0.041859638800753614,0.01947966853094205,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2473,0.2473,0.10270000000000001,0.10270000000000001,1.3804109711712003,14,0.42642812589364104,0.22256745511734866,0.04160315339746475,4.075436115264893
10,0.027108655616942912,0.04205839153911432,0.01326391816739936,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.247,0.247,0.10300000000000001,0.10300000000000001,1.3134798112703259,14,0.44109682033523967,0.2228534487712875,0.03614778985291521,4.490776300430298
11,0.027108655616942912,0.04288126035700612,0.013186940292069833,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2467,0.2467,0.1033,0.1033,1.306103041849058,16,0.4474473911903858,0.2284008513526301,0.036690278566681646,4.925597667694092
12,0.027108655616942912,0.044187222823662,0.01450216190537058,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2464,0.2464,0.10360000000000001,0.10360000000000001,1.3454855331306677,13,0.4623192368936857,0.23114950399008438,0.037099271662369225,5.347878456115723
13,0.027108655616942912,0.04253373940148514,0.01077633214839458,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.24609999999999999,0.24609999999999999,0.1039,0.1039,1.3548721479269041,7,0.47303788090447524,0.231987269678137,0.0372799946222069,5.032696485519409
14,0.027108655616942912,0.04712763608720993,0.020133554268564884,-3849.180121695369,125.26478525424716,5762.180121695369,-3286.0,2.160246899469287,-787.8030272436731,60.0178450498594,2700.803027243673,-3654.0,0.0,0.3,0.2458,0.2458,0.10420000000000001,0.10420000000000001,1.262368923978988,10,0.46811765020798324,0.2353026835814592,0.038905859592244664,5.432252645492554
