generation,best_fitness,avg_fitness,std_fitness,best_G,best_tct,best_Makespan,best_profit,best_imbalance,ideal_G,ideal_tct,ideal_Makespan,ideal_profit,ideal_imbalance,weight_G,weight_travel,weight_Makespan,weight_profit,weight_imbalance,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.040062597809076686,0.15045689700119522,0.04827988680952331,-17171.360302140274,422.7191178253394,19022.360302140274,-3470.0,0.9428090415820634,-2643.79941122084,98.34284512695592,4818.79941122084,-3598.0,0.4714045207910317,1.0,1.0,1.0,1.0,1.0,0.9910725254163406,26,0.4100058176621464,0.14628203641914472,0.1669676221872237,0.0
1,0.035594035594035595,0.1041632147510968,0.04800524269822989,-6419.034583162087,171.04069166324174,8552.034583162087,-3228.0,0.9428090415820634,-911.2648675102191,63.553925416909976,2669.264867510219,-3598.0,0.0,0.3,0.2497,0.2497,0.1003,0.1003,1.4170833997451717,19,0.39091339080752063,0.14628203641914472,0.1669676221872237,0.7470858097076416
2,0.03163934426229508,0.09488283547249533,0.04833743016895791,-4510.156187118723,140.85122145910267,6479.156187118723,-3212.0,2.160246899469287,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2494,0.2494,0.10060000000000001,0.10060000000000001,1.3349767484724413,14,0.4625727738051736,0.21318374779667315,0.10105233908901051,1.2374629974365234
3,0.02516393442622951,0.08424422249563138,0.03917449859861517,-4501.88601209694,142.50857804659867,6412.88601209694,-3291.0,0.4714045207910317,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2491,0.2491,0.1009,0.1009,1.3638618463291594,11,0.4099477212060583,0.2132931685654386,0.05812196362538277,1.6538035869598389
4,0.02516393442622951,0.07134396730410432,0.02829243545962828,-4501.88601209694,142.50857804659867,6412.88601209694,-3291.0,0.4714045207910317,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2488,0.2488,0.10120000000000001,0.10120000000000001,1.3236497622141163,9,0.37500987586740836,0.2178891037402328,0.05652010176129952,1.3503293991088867
5,0.02516393442622951,0.062203264301343306,0.02174963032952196,-4501.88601209694,142.50857804659867,6412.88601209694,-3291.0,0.4714045207910317,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2485,0.2485,0.1015,0.1015,1.3419784673839654,9,0.3862365536451049,0.21522836228946984,0.04688641938521703,1.767334222793579
6,0.025,0.05668600549784171,0.021432351283800274,-3816.1439102351123,125.1335632659807,5756.143910235112,-3293.0,0.9428090415820634,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2482,0.2482,0.1018,0.1018,1.3407778188326978,7,0.39909126390979693,0.21429301874105505,0.045860987072701816,2.202150583267212
7,0.02336065573770492,0.05208248848554852,0.019766007879955815,-3910.139796182297,128.1808843596066,5768.139796182297,-3313.0,2.449489742783178,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2479,0.2479,0.10210000000000001,0.10210000000000001,1.3379331954342475,8,0.3849757456567716,0.21808544998841367,0.05287003426319903,2.6312437057495117
8,0.02336065573770492,0.04902198762416567,0.015335183202098571,-3910.139796182297,128.1808843596066,5768.139796182297,-3313.0,2.449489742783178,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2476,0.2476,0.1024,0.1024,1.3202533538205126,9,0.4206133310350383,0.21687708735020905,0.04859869866772291,3.0392377376556396
9,0.02336065573770492,0.04656108750489684,0.012700701723749284,-3910.139796182297,128.1808843596066,5768.139796182297,-3313.0,2.449489742783178,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2473,0.2473,0.10270000000000001,0.10270000000000001,1.361613997679466,15,0.4332534945032293,0.22600573836983195,0.044979982488289244,3.4541566371917725
10,0.02336065573770492,0.050116575766425975,0.023536198528313363,-3910.139796182297,128.1808843596066,5768.139796182297,-3313.0,2.449489742783178,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.247,0.247,0.10300000000000001,0.10300000000000001,1.3239092582065122,12,0.44706473503073346,0.23054164757464476,0.044763017076469125,3.9689695835113525
11,0.02336065573770492,0.04337222583569044,0.01207532390648904,-3910.139796182297,128.1808843596066,5768.139796182297,-3313.0,2.449489742783178,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2467,0.2467,0.1033,0.1033,1.3148652515988895,8,0.4439601313842338,0.23410861127730787,0.0387626055440441,4.402628183364868
12,0.02336065573770492,0.04260024831167295,0.013594816205705301,-3910.139796182297,128.1808843596066,5768.139796182297,-3313.0,2.449489742783178,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2464,0.2464,0.10360000000000001,0.10360000000000001,1.353312778638504,10,0.45200012117188293,0.23764280545677297,0.03929823214857348,4.855623245239258
13,0.02336065573770492,0.041940330218879864,0.014847786464641043,-3910.139796182297,128.1808843596066,5768.139796182297,-3313.0,2.449489742783178,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.24609999999999999,0.24609999999999999,0.1039,0.1039,1.3712691809728927,14,0.46023650217592327,0.23639074916122804,0.03810381122599286,5.394991397857666
14,0.02336065573770492,0.039141113010130554,0.013940171198293765,-3910.139796182297,128.1808843596066,5768.139796182297,-3313.0,2.449489742783178,-911.2648675102191,63.553925416909976,2508.8054106175973,-3598.0,0.0,0.3,0.2458,0.2458,0.10420000000000001,0.10420000000000001,1.3794060049697812,14,0.47390338587184594,0.23612904085874076,0.03927317707604185,5.8161091804504395
