generation,best_G_benchmark,best_fitness,avg_fitness,std_fitness,best_tct,best_Makespan,best_profit,ideal_tct,ideal_Makespan,ideal_profit,weight_travel,weight_Makespan,weight_profit,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.011009870918754746,0.011009870918754746,0.10704484771458303,0.09324460370614883,104.11571883532523,5101.670222930936,-3036.0,98.34284512695592,4818.79941122084,-3065.0,1.0,1.0,1.0,2931577925661.652,20,0.0951111111111111,0.2797338111184465,0.27759864321038524,0.0
1,0.0203921568627451,0.0203921568627451,0.07489735713922864,0.08685993478307812,87.9028571098511,4307.239998382704,-3029.0,37.180787450866944,1078.2428360751414,-3133.0,0.39980000000000004,0.39980000000000004,0.20040000000000002,3077479989052.6436,10,0.04957575757575758,0.050248123639286664,0.23010262317345187,0.6597139835357666
2,0.013185960829939886,0.013185960829939886,0.0357044455911986,0.021887754148564843,86.80926589744055,4253.654028974587,-3084.0,37.180787450866944,1078.2428360751414,-3152.0,0.3996,0.3996,0.2008,3086649473450.8237,13,0.017333333333333333,0.014199974333128928,0.22857184029657834,1.0657086372375488
3,0.01411446249033256,0.01411446249033256,0.0329417346817751,0.011599603417239306,86.80926589744055,4253.654028974587,-3084.0,37.180787450866944,1078.2428360751414,-3157.0,0.39940000000000003,0.39940000000000003,0.20120000000000002,3052210879762.3237,8,0.017454545454545455,0.01341271876666137,0.23167048338329904,1.4866223335266113
4,0.016321044546851,0.016321044546851,0.03546040418238314,0.012877472991890354,86.80926589744055,4253.654028974587,-3084.0,37.180787450866944,1078.2428360751414,-3169.0,0.3992,0.3992,0.2016,3079105752019.3506,11,0.020848484848484845,0.013842405773697617,0.23365917262526423,1.8806426525115967
5,0.023689610147360568,0.023689610147360568,0.041079640254703925,0.014655428862725086,90.42954121973399,4340.617978547231,-3093.0,37.180787450866944,1078.2428360751414,-3220.0,0.399,0.399,0.202,3132605598107.1865,6,0.024242424242424242,0.012429468605168751,0.23321048474229897,2.2932589054107666
6,0.023689610147360568,0.023689610147360568,0.03836119090721882,0.013297587827047114,90.42954121973399,4340.617978547231,-3093.0,37.180787450866944,1078.2428360751414,-3220.0,0.39880000000000004,0.39880000000000004,0.20240000000000002,3113340256369.6504,11,0.027676767676767678,0.015917047408625346,0.233977669305902,2.6965019702911377
7,0.022950212844715896,0.022950212844715896,0.0385926481114868,0.014410922765252611,86.17792883736003,4136.540584193282,-3110.0,37.180787450866944,1078.2428360751414,-3234.0,0.3986,0.3986,0.2028,3142790630608.3594,10,0.027717171717171717,0.013745401125565868,0.2356007642067812,3.103982448577881
8,0.017418408507517417,0.017418408507517417,0.04344487150713866,0.01618878232154621,90.36617822251384,4337.576554680664,-3156.0,37.180787450866944,1078.2428360751414,-3251.0,0.39840000000000003,0.39840000000000003,0.20320000000000002,3156526600930.466,4,0.0282020202020202,0.020592053772230307,0.23460970674667447,3.49746036529541
9,0.017418408507517417,0.017418408507517417,0.038958711586390526,0.015061299056009036,90.36617822251384,4337.576554680664,-3156.0,37.180787450866944,1078.2428360751414,-3251.0,0.3982,0.3982,0.2036,3161028706844.1147,10,0.029858585858585855,0.014423591665215785,0.23644908006103302,3.8944709300994873
10,0.02170374389582203,0.02170374389582203,0.038661528372655525,0.016158706217413155,90.36617822251384,4337.576554680664,-3156.0,37.180787450866944,1078.2428360751414,-3276.0,0.398,0.398,0.20400000000000001,3185883209805.441,12,0.030545454545454542,0.018238103580289784,0.2384060974377682,4.301806926727295
11,0.0253254859996433,0.0253254859996433,0.04030225153340708,0.015564029503133292,92.71279084930622,4357.501169917392,-3160.0,37.180787450866944,1078.2428360751414,-3302.0,0.39780000000000004,0.39780000000000004,0.2044,3191934375186.8555,9,0.03361616161616161,0.017863044904045864,0.2430369489896853,4.722277402877808
12,0.025490196078431372,0.025490196078431372,0.03684452692715715,0.01354592273677338,92.71279084930622,4357.501169917392,-3160.0,37.180787450866944,1078.2428360751414,-3303.0,0.3976,0.3976,0.2048,3208371902460.377,10,0.032808080808080814,0.012867002339939147,0.24612390759388858,5.107650518417358
13,0.02255253716043055,0.02255253716043055,0.048599183428359984,0.01538081737167277,110.35038199244565,5296.818335637391,-3252.0,37.180787450866944,1078.2428360751414,-3384.0,0.39740000000000003,0.39740000000000003,0.20520000000000002,3287047037529.936,12,0.03648484848484849,0.01577485465853703,0.24813437674053193,5.4831297397613525
14,0.02528617802836152,0.02528617802836152,0.043874419207100675,0.014904401925472748,92.86653028955222,4457.593453898507,-3236.0,37.180787450866944,1078.2428360751414,-3384.0,0.3972,0.3972,0.2056,3268105196972.745,10,0.03474747474747474,0.01449678334692185,0.2513985243749358,5.87862753868103
