generation,best_G_benchmark,best_fitness,avg_fitness,std_fitness,best_tct,best_Makespan,best_profit,ideal_tct,ideal_Makespan,ideal_profit,weight_travel,weight_Makespan,weight_profit,hypervolume,pareto_front_size,genotypic_diversity,phenotypic_diversity,priority_diversity,elapsed_time_seconds
0,0.014585556741373178,0.014585556741373178,0.10862806055699414,0.09164929573294893,102.68969787709128,5031.795195977473,-3024.0,98.34284512695592,4818.79941122084,-3065.0,1.0,1.0,1.0,2931299249454.792,15,0.10626262626262624,0.27494788719884683,0.2743330510797588,0.0
1,0.029308565531475747,0.029308565531475747,0.08325490622314094,0.0925145354784256,72.87497345799609,3497.9987259838126,-2991.0,37.16221914834357,1301.485043942049,-3133.0,0.39980000000000004,0.39980000000000004,0.20040000000000002,3071615909450.3286,8,0.043070707070707065,0.052735145878911094,0.23258824723954472,1.6531720161437988
2,0.014654282765737874,0.014654282765737874,0.036976633567829015,0.023407799177896312,75.06307785616082,3603.027737095719,-3062.0,37.16221914834357,1301.485043942049,-3133.0,0.3996,0.3996,0.2008,3037874878776.917,10,0.01507070707070707,0.017389636177448486,0.2316258743174114,2.0906877517700195
3,0.017973856209150325,0.017973856209150325,0.03895957093236905,0.013759580113317791,75.06307785616082,3603.027737095719,-3062.0,37.16221914834357,1301.485043942049,-3150.0,0.39940000000000003,0.39940000000000003,0.20120000000000002,3074156869966.469,6,0.019151515151515152,0.015083738243073788,0.23216626160489656,2.47690749168396
4,0.017973856209150325,0.017973856209150325,0.03938239212523511,0.014102617236491411,75.06307785616082,3603.027737095719,-3062.0,37.16221914834357,1301.485043942049,-3150.0,0.3992,0.3992,0.2016,3055384696727.7354,9,0.022141414141414142,0.01724512365532058,0.2324079055854131,2.8782808780670166
5,0.0202757502027575,0.0202757502027575,0.039977198846821174,0.015686452793816388,75.06307785616082,3603.027737095719,-3062.0,37.16221914834357,1301.485043942049,-3162.0,0.399,0.399,0.202,3082540647398.049,9,0.025212121212121213,0.01717678519735773,0.23394504830739232,3.2587335109710693
6,0.031615925058548,0.031615925058548,0.04536236829702184,0.01641057269394265,88.70037344183184,4080.2171783242648,-3064.0,37.16221914834357,1301.485043942049,-3226.0,0.39880000000000004,0.39880000000000004,0.20240000000000002,3143615515092.9385,15,0.02707070707070707,0.015953569377370396,0.23377591605871384,3.6460301876068115
7,0.029982866933181036,0.029982866933181036,0.049231089663073935,0.015469821088139784,95.61359545710434,4493.838986483904,-3111.5,37.16221914834357,1301.485043942049,-3269.0,0.3986,0.3986,0.2028,3171549521358.129,13,0.03014141414141414,0.018307725894450812,0.2369856646633823,4.113933086395264
8,0.032933561774224254,0.032933561774224254,0.04772126368417046,0.017961114257942744,89.05897336312381,4185.771748066819,-3096.0,37.16221914834357,1301.485043942049,-3269.0,0.39840000000000003,0.39840000000000003,0.20320000000000002,3121702098485.8325,13,0.035676767676767675,0.019832416960749413,0.23839446117839075,4.6304121017456055
9,0.03476033662641785,0.03476033662641785,0.056343353944542374,0.01849618024281572,102.5714495137322,4718.286677631681,-3150.0,37.16221914834357,1301.485043942049,-3340.0,0.3982,0.3982,0.2036,3230840231058.8535,16,0.037696969696969694,0.01831109654103782,0.24202126420533826,5.13732385635376
